sample,input,filterSeq_quality,filterSeq_length,maskPrimers_extract,alignSets,buildConsensus,unique,unique_atleast_2,makedb_db-pass,clone_rep_passed
1001-667,0,238820,238605,230992,64794,65265,48383,24379,21894,3240
1001-986,0,418906,418720,407655,20128,20139,14434,6922,0,0
1002-667,0,181109,180960,168186,21789,21909,16187,8091,5921,1349
1003-667,0,279601,279401,270873,19370,19376,13612,5159,2358,932
1003-986,0,475703,475470,466883,17758,17764,12803,5305,0,0
1004-667,0,398838,398593,372805,21226,21254,16482,7157,5533,1675
1005-667,0,313843,313617,305547,43765,43792,26278,15315,12284,1952
1006-667,0,221301,221118,209366,42137,42243,31813,16204,13488,2019
1008-667,0,396322,396035,387704,33868,33902,26185,13406,9198,2558
1012-667,0,344906,344647,331570,36170,36219,26136,11676,9965,2124
test,0,1000,1000,986,808,808,763,163,148,116
